;
; This file defines the base virtual address for Dynamic Link Libraries (DLL)
; that are part of the Windows NT System.  The first token on a line is the name
; of the DLL and the second token is the base virtual address, in hexidecimal.
; The third token is the maximum size of the DLL image file, including symbols.
;
;  NOTE:  Unused areas are marked as _FREE_.

usermode    0x01000000  0x60000000
tglcase     0x44000000  0x10080000
pmatch      0x44080000  0x10080000
justify     0x44100000  0x10080000
ulcase      0x44180000  0x10080000
filter      0x44200000  0x10080000
mhelp       0x44280000  0x10080000
mepparty    0x44300000  0x10080000
srmep       0x44380000  0x10080000
mshelp      0x44400000  0x10080000
mbrowse     0x44480000  0x10080000
zextens     0x44500000  0x10080000
netmsg      0x44580000  0x10080000
neth        0x44600000  0x10080000
netevent    0x44680000  0x10080000
iologmsg    0x44700000  0x10080000
ulib        0x44780000  0x10080000
autoulib    0x44800000  0x10080000
uhpfs       0x44880000  0x10080000
ufat        0x44900000  0x10080000
untfs       0x44980000  0x10080000
ifsutil     0x44a00000  0x10080000
cnvfat      0x44a80000  0x10080000
cnvntfs     0x44b00000  0x10080000
fmifs       0x44b80000  0x10080000
uspifs      0x44c00000  0x10080000
ureg        0x44c80000  0x10080000
dsfolder    0x44d00000  0x10080000
queryui     0x44d80000  0x10080000
nlgwbrkr    0x44e00000  0x10100000
ulibif      0x44f00000  0x10080000
cudbfs      0x44f80000  0x10080000
proxy       0x45000000  0x10080000
alertsys    0x45080000  0x10080000
commnot     0x45100000  0x10080000
cryptdll    0x45180000  0x10080000
demoif      0x45200000  0x10080000
menuedt     0x45280000  0x10080000
hwdll       0x45300000  0x10080000
clock       0x45380000  0x10080000
slm         0x45400000  0x10080000
cal         0x45480000  0x10080000
report      0x45500000  0x10080000
desk        0x45580000  0x10080000
cxxflt      0x45600000  0x10080000
clocksch    0x45680000  0x10080000
dfsui       0x45700000  0x10080000
iclass      0x45780000  0x10080000
kdcsvc      0x45800000  0x10080000
slmck       0x45880000  0x10080000
cmsstg      0x45900000  0x10080000
iprod       0x45980000  0x10080000
kerberos    0x78280000  0x10080000
ciext       0x45a80000  0x10080000
applet1     0x45b00000  0x10080000
cairocpl    0x45b80000  0x10080000
cpo         0x45c00000  0x10080000
deskapp     0x45c80000  0x10080000
sadmin      0x45d00000  0x10080000
ntlm        0x45d80000  0x10080000
objsrv      0x45e00000  0x10080000
msgfno      0x45e80000  0x10080000
lnktrack    0x45f00000  0x10080000
pocket      0x45f80000  0x10080000
dsfsmsgs    0x46000000  0x10080000
riched20    0x46080000  0x10080000
ciadmin     0x46100000  0x10080000
scperf      0x46180000  0x10080000
msvcbook    0x46200000  0x10080000
dsyscpl     0x46280000  0x10080000
bmpctl      0x46300000  0x10080000
spintime    0x46380000  0x10080000
grpbox      0x46400000  0x10080000
security    0x46480000  0x10080000
secur128    0x46480000  0x10080000
mdbmsg      0x46500000  0x10080000
bimport     0x46580000  0x10080000
oldctrls    0x46600000  0x10080000
smctrls     0x46680000  0x10080000
offfilt     0x46700000  0x10080000
stdobj      0x46780000  0x10080000
csumcat     0x46800000  0x10080000
sysmgmt     0x46880000  0x10080000
dsexts      0x46900000  0x10080000
dfssetup    0x46980000  0x10080000
testdll     0x46a00000  0x10080000
cap         0x46a80000  0x10080000
sysinf      0x46b00000  0x10080000
shdebug     0x46b80000  0x10080000
